编号,岗位名称,岗位要求
320,人力资源总监,"岗位职责：

1.负责拟定公司人力资源战略规划，岗位设置与人员配备建议方案，筹划并实施人才储备及梯队建设等工作；

2.组织和拟定招聘、培训、薪酬、绩效、福利、员工关系、企业文化等相关工作，负责具体实施落实；

3.负责公司内部管理，建设和优化公司内部管理流程、制度等，控制内部成本费用；

4.统筹规划公司的人力资源战略规划，根据经营战略对企业组织架构进行调整与优化，及时处理公司管理过程中的重大人力资源问题

5.完成领导交办的其他任务。



岗位要求：

1.本科及以上学历，人力资源管理、心理学等相关专业优先；

2.年龄40周岁以下，5年以上人力资源相关工作经验，；

3.熟悉人力资源六大模块及管理各项实务的操作流程,；

4.良好的沟通协调能力，工作认真、细致、责任心强，有良好的职业道德操守和团队合作精神。
"
,,
321,人力资源总监,"工作职责:
1、企业内部人力体系搭建升级(包含招聘、体系、培训、薪酬、绩效等)；
2、企业大学体系搭建；
3、其他董事长安排重点工作；

任职要求: 
1、35-40岁左右，统招本科以上学历；
2、具备连锁业态(餐饮优先，轻量级、小门店的，服装类的也可以看)
3、人力体系搭建经验的，尤其擅长人才培养、组识发展的，且懂业务
4、高情商、原则性强、做人细腻。

工作地点:北京或哈尔滨(需要两地出差，基本一半一半)
"
,,
322,餐饮行业人力资源总监,"职责描述：

1、承接公司战略在人力资源版块的分解与落地；

2、主动了解公司业务，参与公司战略制定工作当中，确保人力资源工作可有效支撑公司战略发展；

3、依据公司发展经营战略目标制定人力资源部部门月度、季度、年度工作规划；

4、负责餐饮板块中高团队的搭建与管控;

5、完成上级交办的其他工作。





任职要求：

1、全日制统招大专及以上学历；

2、形象气质佳、干练，35岁-38岁，人力资源管理、工商管理、心理学等相关专业；

3、10年以上高端私房菜人力资源工作经验，3年以上同岗位经验；

4、具备0-1体系制度搭建、新店筹备经验；

5、具备较好的管理能力、沟通表达能力、格局和眼界；

6、需有高端中餐、高端私房菜、创新日料餐饮行业经验、五星级酒店人力总监经验;

7、有中餐及创新日料高端人才资源优先；

8、可以尽快到岗者优先。

（备注：简历请附带照片，谢谢～～）

"
,,
323,人力资源总监,"职责描述：

在中心总经理领导下开展人力资源相关工作。







任职要求：

1、28-35岁，人力资源类相关专业统招本科学历，3年以上人力资源工作经验；

2、熟悉人才行业动态，具有标杆企业履职经历者优先考虑，擅长副总经理以上级别岗位高端招聘工作者优先考虑；

3、良好的职业素养和沟通能力，公司提供有竞争力的薪酬福利。"
,,
324,储备HRD、人力总监,"互联网、医药、快消、外资，制造业等企业背景，管理体量大，重视人力资源，具备一定的地域灵活性；
87后，统招一本及以上学历。"
,,
325,人力资源总监,"职责描述：

1、全面负责事业部的人力资源管理与开发工作，制定事业部人力资源管理的方针、政策和制度；

2、组织拟订事业部人员编制计划，并监督实施，组织制定事业部人力资源发展的长期规划、中期规划和年度计划.监督、控制、检查人力资源发展各项计划的实施；

3、组织制定员工招聘、聘任、调动、考核、晋升、奖惩等级评定等人力资源管理的方针、政策、规章和标准，并监督执行；

4、定期组织对各级管理人员考评，向事业部领导推荐优秀人才，协调和指导本部门和各用人部门的人才招聘、员工培训、绩效考核、薪酬等工作的进行，确保公司人力资源的合理使用；

5、受理事业部各职能部门关于人力资源方面的投诉计划和审核人力资源管理的成本，及时处理事业部管理过程中的重大人事问题落实执行公司人事奖惩制度。

要求：1、35岁以内，本科以上学历，人力资源、企业管理等相关专业优先；

2、三年以上人力资源管理岗位工作经验或五年以上招聘培训岗位工作经验，熟悉现代化企业管理模式、并具备相关实践的经验；

3、良好的沟通能力及业务理解能力，能深入业务；

4、人际敏感，人际关系的洞察力、对事物的理解力；

5、有海外人力工作经验优先。





"
,,
326,集团人力资源总监,"2、建立并完善人力资源管理体系、制度，设计人力资源管理模式（包含招聘、训、绩效、薪酬及员工发展等体系的全面建设）:3、合理优化、控制人力资源成本，对人力方向的财务数据负责；
4、在公司整体企业文化框架下，督促贯彻企业文化、价值观、政策及流程入司的执行；
5、承担公司企业文化传播、价值观树立、雇主品牌建设职能职责，提高团队聚力和战斗力，负责公司重要接待、举办重要活动；"
,,
327,人力资源总监,"岗位职责：

1、	负责高层人才的招聘引进工作，完成二层面核心班子的搭建

2、	按照公司总体战略要求及发展目标，制定公司人力资源战略及中长期人力资源规划

3、	根据公司文化及企业发展阶段，梳理、提炼公司的基本人才观念及用人标准

4、	建立起与公司发展战略要求、发展阶段匹配的现代人力资源管理体系

5、	根据公司发展阶段，组织制订公司价值链管理系统（职位体系、任职资格体系、岗位价值评价体系、薪酬管理体系、绩效管理体系）并实施；

6、	根据公司年度发展目标，组织制定公司年度人力资源工作计划及预算；

任职资格：

名校本科以上学历，40岁左右，性别不限

知名跨国公司、优秀民营企业集团全面人力资源管理工作十五年以上，其中担任集团总监岗位三年以上；

有大型企业集团转型期核心团队搭建经验；

有全面战略性人力资源管理成功实践。

现代人力资源管理理论体系、实践、落地、推动；

先进的人力资源理念，人力资源供应链系统构建；

强沟通能力与领导力、系统思维、国际化视野；

娴熟专业解决问题能力、人力资源招聘、甄选技巧； 

团队技巧与团队工作方式。

诚实、正直；

开放、稳重、成熟；

认同以“奋斗者”为本的文化，愿意与企业一起成长；

耐高压与高负荷工作。"
